bank,ifsc,branch,centre,district,state,address,contact,city,micr
Abhyudaya Co-operative Bank,ABHY0065001,Abhyudaya Co-operative Bank IMPS,MUMBAI,MUMBAI,MAHARASHTRA,"ABHYUDAYA BUILDING, KAMAL NATH MARG,NEHRU NAGAR,KURLA-EAST,MUMBAI-400024",+919653261383,MUMBAI,400065001
Abhyudaya Co-operative Bank,ABHY0065002,ABHYUDAYA NAGAR,MUMBAI,MUMBAI,MAHARASHTRA,"ABHYUDAYA EDUCATION SOCIETY, OPP. BLDG. NO. 18, ABHYUDAYA NAGAR, KALACHOWKY, MUMBAI - 400033",+912224702643,GREATER MUMBAI,400065002
Abhyudaya Co-operative Bank,ABHY0065003,BAIL BAZAR,MUMBAI,MUMBAI,MAHARASHTRA,"KMSPMS SCHOOL, WADIA ESTATE, BAIL BAZAR-KURLA(W), MUMBAI-400070",+912225032202,GREATER MUMBAI,400065003
Abhyudaya Co-operative Bank,ABHY0065004,BHANDUP,MUMBAI,MUMBAI,MAHARASHTRA,"CHETNA APARTMENTS, J.M.ROAD, BHANDUP, MUMBAI-400078",+912225963157,GREATER MUMBAI,400065004
Abhyudaya Co-operative Bank,ABHY0065005,DARUKHANA,MUMBAI,MUMBAI,MAHARASHTRA,"POTIA IND.ESTATE, REAY ROAD (E), DARUKHANA, MUMBAI-400010",+912223778164,GREATER MUMBAI,400065005
Abhyudaya Co-operative Bank,ABHY0065006,FORT,MUMBAI,MUMBAI,MAHARASHTRA,"ABHYUDAYA BANK BLDG., 251, PERIN NARIMAN STREET, FORT, MUMBAI-400001",+912222614468,GREATER MUMBAI,400065006
Abhyudaya Co-operative Bank,ABHY0065007,GHATKOPAR,MUMBAI,MUMBAI,MAHARASHTRA,"UNIT NO 2 & 3, SILVER HARMONY BLDG,NEW MANIKLAL ESTATE, GHATKOPAR (WEST), MUMBAI-400086",+912225116673,GREATER MUMBAI,400065007
Abhyudaya Co-operative Bank,ABHY0065008,KANJUR,MUMBAI,MUMBAI,MAHARASHTRA,"N.G. ROYAL PARK, KANJUR MARG (E),MUMBAI- 400 078.",+918928523902,GREATER MUMBAI,400065008
Abhyudaya Co-operative Bank,ABHY0065009,NEHRU NAGAR,MUMBAI,MUMBAI,MAHARASHTRA,"ABHYUDAYA BANK BLDG., B.NO.71, NEHRU NAGAR, KURLA (E), MUMBAI-400024",+912225222386,GREATER MUMBAI,400065009
Abhyudaya Co-operative Bank,ABHY0065010,PAREL,MUMBAI,MUMBAI,MAHARASHTRA,"SHRAMA SAFALYA, 63 G.D.AMBEKAR MARG, PAREL VILLAGE, MUMBAI-400012",+912224137707,GREATER MUMBAI,400065010
